PKLocNb;NPA;LocName
838;1618;Châtel-St-Denis
839;1653;Châtel-sur-Montsalvens
840;1502;Châtillens
841;1473;Châtillon FR
842;2843;Châtillon JU
843;1553;Châtonnaye
844;2067;Chaumont
845;1279;Chavannes-de-Bogis
846;1279;Chavannes-de-Bogis OLS
847;1290;Chavannes-des-Bois
848;1464;Chavannes-le-Chêne
849;1676;Chavannes-les-Forts
850;1309;Chavannes-le-Veyron
851;1022;Chavannes-près-Renens
852;1693;Chavannes-sous-Orsonnens
853;1512;Chavannes-sur-Moudon
854;1373;Chavornay
855;1529;Cheiry
856;1927;Chemin
857;1603;Chenaux
858;1224;Chêne-Bougeries
859;1225;Chêne-Bourg
860;1744;Chénens
861;1464;Chêne-Pâquier
862;3971;Chermignon
863;3971;Chermignon-d'en-Bas
864;1822;Chernex
865;1683;Chesalles-sur-Moudon
866;1608;Chesalles-sur-Oron
867;1400;Cheseaux-Noréaz
868;1033;Cheseaux-sur-Lausanne
869;1275;Chéserex
870;1885;Chesières
871;1720;Chésopelloz
872;1846;Chessel
873;2906;Chevenez
874;1316;Chevilly
875;1545;Chevroux
876;1605;Chexbres
877;1468;Cheyres
878;2054;Chézard
879;2025;Chez-le-Bart
880;6830;Chiasso
881;6830;Chiasso 1
882;6830;Chiasso 3
883;6831;Chiasso Sortite
884;6764;Chiggiogna
885;1134;Chigny
886;3965;Chippis
887;6747;Chironico
888;1871;Choëx
889;2764;Choindez
890;1244;Choulex
891;7000;Chur
892;7001;Chur
893;7002;Chur
894;7003;Chur
895;7004;Chur
896;7005;Chur
897;7006;Chur
898;7007;Chur
899;7000;Chur 1 Briefausgabe
900;7000;Chur KPD
901;7002;Chur TD
902;7075;Churwalden
903;6951;Cimadera
904;6684;Cimalmotto
905;6992;Cimo
906;7526;Cinuos-chel
907;1815;Clarens
908;1127;Clarmont
909;6702;Claro
910;1595;Clavaleyres
911;7442;Clugin
912;2932;Coeuve
913;2207;Coffrane
914;6671;Coglio
915;1267;Coinsins
916;1216;Cointrin
917;6877;Coldrerio
918;6951;Colla
919;1239;Collex
920;1868;Collombey
921;1245;Collonge-Bellerive
922;1903;Collonges
923;1223;Cologny
924;2013;Colombier NE
925;1114;Colombier VD
926;6949;Comano
927;1535;Combremont-le-Grand
928;1536;Combremont-le-Petit
929;1291;Commugny
930;6611;Comologno
931;1231;Conches
932;1426;Concise
933;1232;Confignon
934;1587;Constantine
935;7241;Conters im Prättigau
936;1964;Conthey
937;6594;Contone
938;6646;Contra
939;1296;Coppet
940;2826;Corban
941;1856;Corbeyrier
942;1647;Corbières
943;2747;Corcelles BE
944;2035;Corcelles NE
945;1082;Corcelles-le-Jorat
946;1426;Corcelles-près-Concise
947;1562;Corcelles-près-Payerne
948;1374;Corcelles-sur-Chavornay
949;1792;Cordast
950;2606;Corgémont
951;3960;Corin-de-la-Crête
952;6631;Corippo
953;1754;Corjolens
954;1783;Cormagens
955;1721;Cormérod
956;1720;Corminboeuf
957;2036;Cormondrèche
958;2612;Cormoret
959;2087;Cornaux NE
960;2952;Cornol
961;1727;Corpataux
962;1064;Corrençon
963;1410;Correvon
964;1721;Corsalettes
965;1802;Corseaux
966;1747;Corserey
967;1246;Corsier GE
968;1804;Corsier-sur-Vevey
969;2016;Cortaillod
970;2607;Cortébert
971;6851;Corteglia
972;6951;Corticiasca
973;6711;Corzoneso
974;1304;Cossonay-Ville
975;1741;Cottens FR
976;1116;Cottens VD
977;2823;Courcelon
978;2825;Courchapoix
979;2922;Courchavon
980;2853;Courfaivre
981;2892;Courgenay
982;1796;Courgevaux
983;1795;Courlevon
984;1784;Cournillens
985;2764;Courrendlin
986;2822;Courroux
987;2738;Court
988;1791;Courtaman
989;2905;Courtedoux
990;2608;Courtelary
991;2923;Courtemaîche
992;1784;Courtepin
993;2852;Courtételle
994;1721;Courtion
995;1774;Cousset
996;2108;Couvet
997;6951;Cozzo
998;6611;Crana
999;1299;Crans-près-Céligny
1000;3963;Crans-sur-Sierre
1001;1263;Crassier
1002;1526;Cremin
1003;2746;Crémines
1004;6705;Cresciano
1005;1785;Cressier FR
1006;2088;Cressier NE
1007;7447;Cresta (Avers)
1008;1653;Crésuz
1009;1653;Crésuz-Châtel-Montsalvens
1010;1023;Crissier
1011;6942;Crocifisso (Savosa)
1012;1406;Cronay
1013;1322;Croy
1014;7554;Crusch
1015;1309;Cuarnens
1016;1404;Cuarny
1017;1588;Cudrefin
1018;6516;Cugnasco
1019;1482;Cugy FR
1020;1053;Cugy VD
1021;1096;Cully
1022;7142;Cumbel
1023;7176;Cumpadials
1024;7452;Cunter
1025;7184;Curaglia
1026;6963;Cureggia
1027;6944;Cureglia
1028;6985;Curio
1029;1521;Curtilles
1030;6951;Curtina
1031;8447;Dachsen
1032;8471;Dägerlen
1033;6252;Dagmersellen
1034;1306;Daillens
1035;1976;Daillon
1036;6126;Daiwil
1037;7424;Dalin
1038;6383;Dallenwil
1039;8108;Dällikon
1040;6774;Dalpe
1041;2933;Damphreux
1042;2933;Damphreux-Lugnez
1043;2914;Damvant
1044;6717;Dangio-Torre
1045;5010;Däniken Postzentrum
1046;4658;Däniken SO
1047;8114;Dänikon ZH
1048;7163;Danis
1049;1282;Dardagny
1050;7164;Dardin
1051;3707;Därligen
1052;3763;Därstetten
1053;8421;Dättlikon
1054;5405;Dättwil AG
1055;6964;Davesco-Soragno
1056;7270;Davos 2
1057;7270;Davos 4
1058;7272;Davos Clavadel
1059;7260;Davos Dorf
1060;7276;Davos Frauenkirch
1061;7277;Davos Glaris
1062;7278;Davos Monstein
1063;7270;Davos Platz
1064;7270;Davos Platz 1
1065;7265;Davos Wolfgang
1066;7145;Degen
1067;9113;Degersheim
1068;3053;Deisswil b. Münchenbuchse
1069;4707;Deitingen
1070;2800;Delémont
1071;2800;Delémont 1
1072;2800;Delémont 1 Distribution
1073;2800;Delémont 2
1074;1567;Delley
1075;1415;Démoret
1076;1135;Denens
1077;1516;Denezy
1078;1026;Denges
1079;5026;Densbüren
1080;4552;Derendingen
1081;3036;Detligen
1082;8506;Dettighofen b. Lanzenneun
1083;2802;Develier
1084;9115;Dicken
1085;4457;Diegten
1086;8157;Dielsdorf
1087;3053;Diemerswil
1088;3754;Diemtigen
1089;4442;Diepflingen
1090;9444;Diepoldsau
1091;6036;Dierikon
1092;8777;Diesbach GL
1093;3264;Diessbach b. Büren
1094;2517;Diesse
1095;8253;Diessenhofen
1096;3256;Dieterswil
1097;9615;Dietfurt
1098;8953;Dietikon
1099;8953;Dietikon 1
1100;8953;Dietikon 2
1101;8953;Dietikon 3
1102;8305;Dietlikon
1103;6042;Dietwil
1104;8474;Dinhard
1105;6967;Dino
1106;5606;Dintikon
1107;7180;Disentis/Mustér
1108;4243;Dittingen
1109;1304;Dizy
1110;7013;Domat/Ems
1111;2056;Dombresson
1112;1564;Domdidier
1113;1041;Dommartin
1114;1563;Dompierre FR
1115;1557;Dompierre VD
1116;7433;Donath
1117;1582;Donatyre
1118;6715;Dongio
1119;1407;Donneloye
1120;8583;Donzhausen
1121;6112;Doppleschwand
1122;1905;Dorénaz
1123;8458;Dorf
1124;8239;Dörflingen
1125;4143;Dornach
1126;4143;Dornach 1
1127;4143;Dornach 2
1128;8566;Dotnacht
1129;5605;Dottikon
1130;5312;Döttingen
1131;3293;Dotzigen
1132;8580;Dozwil
1133;9612;Dreien
1134;8600;Dübendorf
1135;8600;Dübendorf 1
1136;8600;Dübendorf 2
1137;3186;Düdingen
1138;4202;Duggingen
1139;1266;Duillier
1140;4657;Dulliken
1141;1195;Dully
1142;1195;Dully-Bursinel
1143;8635;Dürnten
1144;5724;Dürrenäsch
1145;3465;Dürrenroth
1146;8335;Dürstelen
1147;8374;Dussnang
1148;7112;Duvin
1149;6245;Ebersecken
1150;9122;Ebersol
1151;8925;Ebertswil
1152;6030;Ebikon
1153;8123;Ebmatingen
1154;9642;Ebnat-Kappel
1155;6163;Ebnet
1156;1040;Echallens
1157;1041;Echallens Sorties
